그룹명,곡명,음원순위,초동음반,뮤비조회(1개월이상),스포티파이 월간청취자 수 (만명),소속사,데뷔년도,활동상태
STAYC,2 L0VE,162위,38800장,735만 (3주차),155.0,하이업엔터 (카카오),2020.0,
Kep1er,KILLA,1000위 밖,77100장,2045만 (3주차),100.0,웨이크원 (CJ),2022.0,
QWER ,CEREMONY,172위,117300장 (커리어하이),599만 (3주차),49.0,타마고 프로덕션,2023.0,
EXID ,불이나,203위,16600장,704만회 (3주차),77.0,소니뮤직,2012.0,
NiziU, LOVE LINE (운명선),1000위 밖,101500장,2624만 (3주차),68.0,JYP,2023.0,
드림캐쳐 ,JUSTICE,1000위 밖,73500장,2551만회 (3주차),61.0,드림캐처컴퍼니,2017.0,
세이마이네임 ,UFO,1000위 밖,160400장 (커리어하이),1468만 (3주차),39.0,iNKODE,2024.0,
H1KEY,나의 첫사랑에게,307위,17800장,370만 (3주차),27.0,CLG,2022.0,
카라 ,I DO I DO,147위,6100장,73만 (3주차),66.0,DSP (RBW),2007.0,
Billlie, ZAP / WORK(음원),445위,40600장,213만 (3주차),57.0,미스틱스토리 (SM (카카오)),2021.0,
브라운아이드걸스 ,원더우먼 ,72위 ,2만2천장 ,2700만 (3주차),,미스틱스토리 (SM (카카오)),2006.0,
ARTMS,Icarus,1000위 밖,123400장 (커리어하이),1124만 (3주차),29.0,모드하우스,2024.0,
BABYDONTCRY,Bittersweet,994위,17600장,1029만 (3주차),49.0,피네이션,2025.0,
UNIS,SWICY,1000위 밖,55300장,1365만 (3주차),29.0,F&F,2024.0,
UNCHILD,UNCHILD,546위,XXX,1146만 (3주차),128.0,하이업 (카카오),2026.0,
라잇썸 ,POSE!,1000위밖,19600장,621만 (3주차),14.0,큐브,2021.0,
AtHeart,Buttuerfly Doors,1000위 밖,17100장 (커리어하이),1442만 (3주차),38.0,타이탄,2025.0,
ifeye,Hazy (Daisy),1000위 밖,21600장,1156만 (3주차),55.0,하이햇,2025.0,
우아, POM POM POM,1000위밖,23600장,430만 (3주차),17.0,SSQ,2020.0,
MADEIN,안봐도 비디오,1000위 밖,42500장,1174만 (3주차),7.0,143엔터,2023.0,
하트오브우먼 ,나를 잃지 않는 방법,965위,11900장,383만 (3주차),21.0,블루브라운레코드,2026.0,
에버글로우, CODE,1000위 밖,1800장,203만 (3주차),156.0,치타컴퍼니,2019.0,
유스피어 ,WICKED GAME,1000위 밖,52600장 (커리어하이),519만 (3주차),2.0,MW,2025.0,
오드유스 ,Babyface,1000위 밖,15400장 (커리어하이),405만 (3주차),5.0,TOP미디어,2024.0,
LATENCY,LATENCY,1000위 밖,11200장 (커리어하이),202만 (3주차),10.0,오디너리레코즈,2026.0,
OWIS ,MUSEUM,1000위 밖,17900장 (커리어하이),665만 (3주차),22.0,올마이애닉도프,2026.0,
KIIRAS,TA TA,1000위 밖,9845장,1549만 (3주차),6.0,린브랜딩,2025.0,
하입프린세스 ,Stolen,1000위 밖,???,736만 (3주차),16.0,아메바컬쳐 (CJ ENM),2026.0,
HITGS ,Cherry Blossom,1000위 밖,6500장,75만 (3주차),11.0,SSQ,2025.0,
YOUNG POSSE,we don't go to bed tonight,1000위 밖,8800장,50만 (3주차),44.0,"DSP, 비트 (RBW)",2023.0,
젠블루 ,BADASS,1000위 밖,1800장,902만 (3주차),8.0,텐엔터,2024.0,
클라씨 ,눈물이 난 채로 걷는게 나다운 거라서,1000위밖,???,158만 (3주차),17.0,포켓돌,2022.0,
아이칠린, XL,1000위밖,8100장,40만 (3주차),4.0,KM,2021.0,
BAD VILLAIN,THRILLER,1000위 밖,2380장,144만 (3주차),30.0,BPM,2024.0,
아일리원 ,illang,1000위밖,6100장,108만 (3주차),2.0,fcemn,2022.0,
CandyShop,Don't Cry,1000위 밖,7800장,148만 (3주차),0.0,브레이브,2024.0,
퀸즈아이 ,Y2K,1000위밖,330장,548만 (3주차),2.0,빅마운틴,2022.0,
모모랜드 ,RODEO,1000위 밖,XXX,84만 (3주차),122.0,MLD,2016.0,
프림로즈 ,Cosmic,1000위밖,XXX,120만 (3주차),3.0,A.O,2023.0,
BEWAVE ,너에게로 가는 길이 너무 어려워,1000위 밖,387장,407만 (3주차),0.0,골드더스트,2024.0,
첫사랑 (CSR),Pretty mob,1000위 밖,3100장,74만 (3주차),5.0,팝뮤직,2022.0,
PIXY,Karma,1000위 밖,4800장,142만회 (3주차),5.0,올라트,2021.0,
크랙시 ,STUPIDZ,1000위 밖,1298장,91만 (3주차),1.0,에스에이아이,2020.0,
시크릿넘버 ,STARLIGHT,1000위 밖 ,2900장,196만회 (3주차),38.0,"바인, 알디",2020.0,
VVUP,Super Model,1000위 밖,880장,1343만 (3주차),14.0,이고,2024.0,
블랙스완 ,Roll Up,1000위 밖,560장,163만 (3주차),7.0,디알,2020.0,
엑신, Dazzle Flash,1000위밖,XXX,861만 (3주차),5.0,에스크로,2023.0,
유니코드 ,돌아봐줄래,1000위 밖,130장,4.5만회 (3주차),0.0,xx엔터,2024.0,
러브원 ,UNICA,1000위 밖,700장,4만 (3주차),2.0,초록별,2024.0,
아이몬드 ,Wonderland,1000위 밖,300장,10만 (3주차),0.0,EMMP,2024.0,
위나, Wake Up,1000위 밖,XXX,7300회 (3주차),0.0,RBC 어뮤즈먼트,2022.0,
버비 ,SUGAR RIDING,1000위 밖,10장,91만 (3주차),0.0,온원,2025.0,
UDTT,VIPER,1000위 밖,???,5만 (3주차),1.0,SW,2025.0,
VVS ,STAY THE NIGHT,1000위 밖,???,10만 (3주차),8.0,MZMC,2025.0,
크레이즈앤젤 ,Picasso,1000위 밖,???,62만 (3주차),1.0,FORBEST,2025.0,
아이아이아이 ,Forbidden night,1000위 밖,,1.4만 (3주차),1.0,빅오션,2025.0,
키비츠,OXY,1000위 밖,10100장,262만 (3주차),45.0,AOMG,,
시크릿 ,아이스크림,567위,???,61만 (3주차),18.0,RBW,2009.0,
도드리,HAWWAH,1000위 밖,XXX,1062만 (3주차),25.0,INNIT (JYP),,
